actors,country,director,genre,grade,introduce,keywords,language,length,name,up_date
"Paul Sanchez,拉瑞·怀特,Leonid Citer,David Allen Brooks,Yelena Popovic",美国,罗伯特·泽米吉斯,"
                   冒险        / 剧情        / 爱情        ",7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"一人电影,坠毁幸存者,生存,遥远的岛屿,飞机失事","
          英语        ",143分钟,"
        荒岛余生,Cast Away ",(2000)
"Lotte Ledl,瓦尔德马·科布斯,克里斯蒂安·特拉米茨,Rick Kavanian,米夏埃尔·赫尔比希",德国,米夏埃尔·赫尔比希,"
                   冒险        / 动画        / 喜剧         / 奇幻片        / 爱情        ",5,A send-up of the Sissi trilogy.,"哄骗,本地大片,标题中的字符名称","
          德语        ",85分钟,"
        解救茜茜公主,Lissi und der wilde Kaiser ",(2007)
"菲丽希缇·琼斯,迭戈·卢纳,艾伦·图代克,甄子丹,姜文",美国,加里斯·爱德华斯,"
                   动作片        / 冒险        / 科幻        ",7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,"星球大战,失去亲人,女罪犯,女囚犯,仇恨","
          英语        ",133分钟,"
        Rogue One ",(2016)
"金武烈,宋智孝,许俊硕,李海云",韩国,Sohn Won-Pyung,"
                   悬疑        / 惊悚片        ",6.6,失踪了25年的妹妹“宥珍”重返家中后，家人开始慢慢变得反常，哥哥“书振”追查妹妹隐藏的秘密时，发现了令人震惊的事情。,,"
          韩语        ",102分钟,"
        侵入者,Intruder ",(2020)
"安东尼·冈萨雷斯,盖尔·加西亚,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托",美国,李·昂克里奇,"
                   冒险        / 动画        / 家庭        / 奇幻片        / 音乐剧        / 悬疑        ",8.4,在墨西哥一个小镇，男孩米格尔（,"墨西哥,来世,死亡,死亡之日,男主角","
          英语        ",105分钟,"
        寻梦环游记,Coco ",(2017)
"张国荣,张丰毅,巩俐,吕齐,英达",中国大陆,陈凯歌,"
                   剧情        / 音乐剧        / 爱情        ",8.1,程蝶衣（张国荣饰）是一对从小一起长大的师兄弟，两人一个人演生，一个人演旦，配合的很默契，尤其是合作的《霸王别姬》更是享誉全城，段小楼分得清戏和人生，但程蝶衣却是人戏难分，段小楼迎娶菊仙，两人心生嫌隙，菊仙被程蝶衣认为是可耻的第三者，认为段小楼背叛了他们的感情，三人围绕霸王别姬生出爱恨情仇，酿成悲剧。,"京剧,剧院,日本占领中国,自杀","
          普通话        ",155分钟,"
        霸王别姬,Farewell My Concubine  ",(1993)
"肖央,谭卓,陈冲,姜皓文,Wenshan Xu",中国大陆,Sam Quah,"
                   犯罪        / 剧情        / 悬疑        ",7.7,影片讲述的是一个父亲（,悬疑、蒙太奇,"
          普通话        ",112分钟,"
        误杀,Sheep Without a Shepherd ",(2019)
"约翰·大卫,罗伯特·帕丁森,伊丽莎白·德比茨基,迪宝·卡帕蒂娅,迈克尔·凯恩",美国,克里斯托弗·诺兰,"
                   动作片        / 剧情        / 惊悚片        ",3.3,《信条》是由美国华纳兄弟影片公司出品的动作惊悚片，由克里斯托弗·诺兰导演执导，约翰·大卫·华盛顿、罗伯特·帕丁森、伊丽莎白·德比齐、迈克尔·凯恩、肯尼思·布拉纳等联袂主演。该片于2020年9月4日在中国内地上映 。这是一部关于国际间谍活动、时间旅行和进化的动作史诗电影。该片讲述了关于一个拥有“时间逆转”的特工试图通过时间旅行和重生来阻止第三次世界大战。,"交响乐大厅,合奏演员,导演写的,导演制作,恐怖袭击","
          英语        ",150分钟,"
        信条,Tenet ",(2020)
"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,Nate Torrence",美国,拜伦·霍华德,"
                   冒险        / 动画        / 犯罪        / 喜剧         / 家庭        / 悬疑        ",8,兔子朱迪从小的梦想就是在动物城当一名警察。在周围所有人包括自己父母都不看好的情况下，朱迪通过不懈努力，终于当上了第一位兔子警察。偶然情况下，朱迪结识了小混混狐狸尼克，二人经历重重磨难一起破获了“午夜嚎叫”案。最终，狐狸尼克也当上了警察，和朱迪搭档继续为保护动物城的平安而勇敢前进。,"兔子,拟人动物,欺诈艺术家,狐狸,警察","
          英语        ",108分钟,"
        疯狂动物城,Zootopia ",(2016)
"汤姆·赫兰德,克里斯·帕拉特,Julia Louis-Dreyfus,奥克塔维亚·斯宾瑟,梅尔·罗德里格斯",美国,丹·斯坎隆,"
                   冒险        / 动画        / 喜剧         / 家庭        / 奇幻片        ",7.5,本片讲述了一对十几岁的兄弟为了在现代生活中找寻最后一点魔法而踏上冒险之旅的故事。这对十几岁的兄弟，在他们少不更事的时候就失去了父亲。在影片的故事背景中，默认这个世界是存在魔法的，只不过随着科技的发展逐渐被大家遗忘。在一次契机下，他们决定寻找这个梦幻世界中仅存的魔法，与父亲共度最后一段美好的时光。,"brother brother bonding,manticore,在车里唱歌,父子结合,牛头怪","
          英语        ",102分钟,"
        1/2的魔法,Onward ",(2020)
"朱梓瑜,刘亦彤 ",中国大陆,李路,"
                   悬疑        ",0,电影《北平会馆》主创阵容强大，制作班底深厚。为让电影最终的呈现符合近年来观众与日俱增的审美与跟上国产悬疑片质量迅速提升的步伐。《北平会馆》 更侧重于以欲望、金钱、情感等探讨人性，去剖析生命的意义，解读亲情爱情友情与现实物质孰轻孰重的问题。而影片最核心的故事，依然是那些隐藏在人性背后的极端残酷与温情善良的正面交锋！无论怎样，相信陪伴是让人生不会留有遗憾的重要因素。人形童偶、绣花鞋、会飞的毽子等道具的使用精妙绝伦，画龙点睛式从细微之处彰显全方位恐怖；剧情真相来往迂回，峰回路转之时又会突然出现惊天逆转，颠覆了往日恐怖片“看到开头，便知结尾”的“自身剧透性”成为2020后疫情时代影院复苏后最为值得一看…,,"
          普通话        ",90分钟,"
        北平会馆,Beijing Guild Hall ",(2019)
"朗贝尔·维尔森,欧嘉·柯瑞兰寇,里卡多·斯卡马乔,西瑟·巴比特,爱德华多·诺列加",法国,雷吉斯·罗因萨尔,"
                   惊悚片        ",7.3,一部叫做《代达罗斯》的小说，已经出了前两部，最后一部完结篇，被之前发布的出版公司顺利拿下，来自九个不同国家的翻译人员也都被召集到了一起，共同完成翻译工作。随着原稿件遭泄漏，九个人谁是内鬼成了谜。于是九个人受尽屈辱，经历了要求脱光衣服罚站、被断粮断电等一系列不受尊重的待遇，心灵受尽折磨。剧情反转，谋杀真凶出现，整个事件的幕后推手也在紧张残酷的气氛中渐渐闪现...,"德国法兰克福,机场,火,豪华轿车","
          意大利语        ",105分钟,"
        翻译疑云,Les traducteurs ",(2019)
"胡杏儿,郭羡妮",中国香港,高志森,"
                   传记        ",6.3,2013年梅艳芳未有送到拍卖的遗物，被一车车丢到垃圾站，包括歌迷写的贺卡和信件等，一众歌迷不忍这些充满回忆和意义的珍宝被丢弃，尽力从垃圾堆中拾回并物归原主。,"天后,梅艳芳,粉丝,真人真事,香港","
          粤语        ",85分钟,"
        梅艳芳菲 拾芳,Shi fang ",(2019)
"威尔·史密斯,贾登·史密斯,坦迪·牛顿,布莱恩·豪威,詹姆斯·凯伦",美国,加布里埃莱·穆奇诺,"
                   传记        / 剧情        ",8,"Based on a true story about a man named Christopher Gardner. Gardner has invested heavily in a device known as a ""bone density scanner"". He feels like he has it made selling these devices. However, they do not sell well as they are marginally better than x-ray at a much higher price. As Ga…","实习,实习医生,推销员,美国梦,股票经纪人","
          英语        ",117分钟,"
        当幸福来敲门,The Pursuit of Happyness ",(2006)
"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,理查德·卡斯特尔诺,罗伯特·杜瓦尔",美国,弗朗西斯·福特·科波拉,"
                   犯罪        / 剧情        ",9.2,迈克· 柯里昂是美国本部黑手党柯里昂家族首领维托·唐·柯里昂的小儿子，虽然他能力突出却对继承家族首领毫无兴趣。然而生活总是事与愿违。迈克的父亲是现任“教父”，虽然总是带领家族做一些非法勾当，但却有自己的底线，从不肯涉足毒品迫害百姓。这也使得维托拒绝了毒枭素洛佐邀请他一起进行毒品交易的请求，激化了柯里昂家族与其他几个黑手党家族的矛盾。圣诞前夕，素洛佐派人暗杀“教父”；受奸人出卖，维托的大儿子逊尼被仇家杀害；迈克也未能远离战争漩涡，痛失爱妻。受形势所迫，迈克不得不回到了纷争之中，替自己的父亲和哥哥报仇，最终继任新一任“教父”。,"掌权,族长,有组织犯罪,犯罪家庭,黑手党","
          英语        ",175分钟,"
        教父,The Godfather ",(1972)
"黄景瑜,马思纯,钟楚曦,辛鹏,高叶",中国大陆,Xu Zhanxiong,"
                   剧情        / 爱情        ",5.1,故事发生在一个小城镇中，云荞（,"救赎,拼搏,舞蹈,暗恋,都市","
          普通话        ",112分钟,"
        荞麦疯长,Wild Grass ",(2020)
"理查德·哈里斯,玛吉·史密斯,罗彼·考特拉尼,Saunders Triplets,丹尼尔·雷德克里夫",英国,Chris Columbus,"
                   冒险        / 家庭        / 奇幻片        ",7.6,自幼失去双亲的哈利波特（,"基于小说,巨魔,巫师,魔法,魔法学校","
          英语        ",159分钟,"
        哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone ",(2001)
"戴维德·迪格斯,Renée Elise Goldsberry,乔纳森·格罗夫,克里斯·杰克逊,Jasmine Cephas Jones",美国,托马斯·凯尔,"
                   歌舞剧        ",9.3,Lin-Manuel Miranda 打造的经典百老汇音乐剧《汉密尔顿》在纽约理查德·罗杰斯剧场官录原卡现场,"嘻哈,基于百老汇音乐剧,电影表现,舞台表演,革命战争","
          英语        ",160分钟,"
        汉密尔顿,Hamilton ",(2020)
"西尔莎·罗南,艾玛·沃森,佛罗伦斯·珀,伊莱扎·斯坎伦,劳拉·邓恩",美国,格蕾塔·葛韦格,"
                   剧情        / 爱情        ",8,电影中，乔·马奇(西尔莎·罗南饰)回顾了自己的生活，讲述了马奇姐妹的动人故事——四个决心按自己的方式生活的年轻女子。,"姐妹之死,掉进冰里,有抱负的作家,纽约市,贫穷","
          英语        ",135分钟,"
        小妇人,Little Women ",(2019)
"本·施瓦茨,詹姆斯·麦斯登,金·凯瑞,提卡·森普特,娜塔莎·罗斯韦尔",美国,杰夫·福勒,"
                   动作片        / 冒险        / 喜剧         / 家庭        / 科幻        ",6.6,刺猬索尼克因为拥有超音速能力，被坏蛋们窥视。不得已利用时空戒指来到地球隐匿，每日看着小镇上人们的生活，内心非常渴望与人交流。但索尼克的一次放纵，超音速形成的能力摧毁了整个地区的电力系统，受到政府的高度警惕。最后，派金博士来到这片区域查证原因。 机缘巧合之下，索尼克搭档小镇警察（,"刺猬,基于视频游戏,小城镇,超高速,音速小子","
          英语        ",99分钟,"
        刺猬索尼克,Sonic the Hedgehog ",(2020)
"木村拓哉,长泽雅美,Nozomi de Lencquesaing,滨田岳,Manami Hashimoto",日本,铃木雅之,"
                   犯罪        / 悬疑        ",6.3,当三起谋杀案在东京发生时，除了尸体和犯罪之外，其共同点是数字都放在犯罪现场旁边。因此，首席调查员拼凑了足够的线索来推测下一个谋杀案的现场。为了更好地做卧底，他成为了酒店的雇员，负责侦探的培训，但显然他们有不同的优势。与此同时，还有一种潜在的犯罪需要预防和逮捕。,"两个字标题,日本女人,根据一本小说,猪,酒店员工","
          日语        ",133分钟,"
        假面饭店,Masukarêdo hoteru ",(2019)
"马特·达蒙,Christian Bale,乔·博恩瑟,凯特瑞娜·巴尔夫,乔什·卢卡斯",美国,詹姆斯·曼高德,"
                   动作片        / 传记        / 剧情        / 体育        ",8.1,这是一部由真实故事改编的电影，谢尔比（,"基于书,基于真实的故事,赛车,赛车,赛车手","
          英语        ",152分钟,"
        极速车王,Ford v Ferrari ",(2020)
"姜栋元,李贞贤",韩国,延尚昊,"
                   动作片        / 恐怖        / 惊悚片        ",5.3,Sequel to the 2016 South Korean zombie film.,"末日,丧失,恐怖,动作","
          韩语        ",115分钟,"
        釜山行2：半岛 ",(2020)
"迪恩·查尔斯,乔治·麦凯,丹尼尔·梅斯,科林·费尔斯,皮普·卡特",美国,萨姆·门德斯,"
                   剧情        / 战争        ",8.4,"April 1917, the Western Front. Two British soldiers are sent to deliver an urgent message to an isolated regiment. If the message is not received in time the regiment will walk into a trap and be massacred. To get to the regiment they will need to cross through enemy territory. Time is of the essenc…","1917年,死亡,没有人的土地,第一次世界大战,老鼠","
          英语        ",119分钟,"
        1917 ",(2019)
"王千源,黄志忠,张译,姚晨,俞灏明",中国大陆,管虎,"
                   战争        ",7.9,1937年淞沪会战末期，中国国民革命军第三战区88师524团的一个加强营为壮声势，四百人对外称“八百人”，固守苏州河畔的四行仓库、阻击日军的故事。,"1930s,中日战争","
          普通话        ",130分钟,"
        八佰,Ba bai ",(2019)
"徐峥,周一围,王传君,谭卓,章宇",中国大陆,文牧野,"
                   喜剧         / 剧情        ",7.9,保健店老板程勇（,白血病、药神、代理、,"
          普通话        ",117分钟,"
        我不是药神,Wo bu shi yao shen ",(2018)
"李鸿其,李一桐,张超,范伟",中国大陆,姚婷婷,"
                   剧情        / 奇幻片        / 爱情        ",5.2,在帮助老剧院服务员林格（,"相遇,爱情,遇见,忠诚,唯一","
          普通话        ",115分钟,"
        我在时间尽头等你,Love You Forever ",(2020)
"汤姆·汉克斯,伊丽莎白·苏,斯蒂芬·格拉汉姆,曼努埃尔·加西亚,李·诺里斯",美国,亚伦·施耐德,"
                   剧情        / 历史        / 战争        ",8.7,以真实历史背景为基础，讲述了在第二次世界大战初期，发生在大西洋上一个没有经验的美国海军司令带领一个盟军舰队与纳粹U型潜艇群周旋的故事......,"1940s,你的船,北大西洋,基于真实的故事,第二次世界大战","
          英语        ",91分钟,"
        灰猎犬号,Greyhound ",(2020)
"黄家达,燕南希,罗烈,谢长廷,张宗贵",中国台湾,Hsi-Chieh Lai,"
                   动作片        / 剧情        ",5.5,The kingdom of the Ming Emperor is being over run. He decides to kill himself and his daughter - but she escapes with a severe injury. She is helped by a female warrior and hopes to defeat the invaders.,"邪教,功夫,标题动物,武术,少林","
          普通话        ",90分钟,"
        闯王李自成,Chuang wang li zi cheng ",(1980)
"艾伦·伯斯汀,马修·麦康纳,麦肯吉·弗依,约翰·利思戈,蒂莫西·柴勒梅德",美国,克里斯托弗·诺兰,"
                   冒险        / 剧情        / 科幻        ",8.6, 库珀（,"宇航员,拯救世界,相对论,虫洞,重力","
          英语        ",169分钟,"
        星际穿越,Interstellar ",(2014)
"Paul McCrane,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒",美国,弗兰克·德拉邦特,"
                   剧情        ",9.3,两名被囚禁的人在长达数年的时间里建立了友谊，并通过日常生活中的基本礼节寻求到了安慰和最终的救赎。,"基于斯蒂芬·金的作品,旁白旁白,监狱,越狱,非法监禁","
          英语        ",142分钟,"
        肖申克的救赎,The Shawshank Redemption ",(1994)
"理查德·阿伦,简·帕克,Russell Hayden,Guinn 'Big Boy' Williams,Emma Dunn",美国,William Berke,"
                   动作片        / 冒险        / 喜剧         / 剧情        / 爱情        / 战争        ",5.2,"After deserting from the U.S. Navy in the 1930s, an officer re-enlists under a fake name after Pearl Harbour and serves on a minesweeper.","海军制服,1941年,货运列车,乘包厢车,以确认开始","
          英语        ",67分钟,"
        扫雷艇,Minesweeper ",(1943)
"本·阿弗莱克,亨利·卡维尔,艾米·亚当斯,杰西·艾森伯格,戴安·琳恩",美国,扎克·施奈德,"
                   动作片        / 冒险        / 科幻        ",6.5,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","基于漫画书,超级英雄,sequel to a reboot,续集,高谭市","
          英语        ",183分钟,"
        蝙蝠侠大战超人：正义黎明,Batman v Superman: Dawn of Justice ",(2016)
"格雷格,霍利·亨特,塞缪尔·杰克逊,杰森·李,Dominique Louis",美国,布拉德·伯德,"
                   动作片        / 冒险        / 动画        / 家庭        ",8,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","超级英雄家庭,超级英雄,非漫画书超级英雄,秘密身份,CGI动画","
          英语        ",115分钟,"
        超人总动员,The Incredibles ",(2004)
"弗兰克·芬莱,斯特法尼娅·桑德雷利,佛朗哥·班塞罗里,芭芭拉·库皮斯蒂,Armando Marra",意大利,丁度·巴拉斯,"
                   剧情        / 历史        / 爱情        ",5.5,"In 1940s Venice, after twenty years of marriage, a Professor and his younger wife witness the passion wane. Now, all that remains is to confess the rousing thoughts to an elaborate diary hoping to break free from ties and inhibitions.","偷窥狂,女裸露狂,毛唇","
          意大利语        ",85分钟,"
        欲望之翼,La chiave ",(1983)
"Petra van Hoven,Marianne Aubert,Evelyne Lang,Elke Sjöberg,Michaela Larsen",西德,Paul Grau,"
                   喜剧         ",4.7,This comedy has everyone's favorite 6 Swedish gals enjoying their stay in the alps. When the girls aren't enjoying the pleasure of their own company they're out having a good time with nearly everyone else in town.,"阿尔卑斯山,人被剥夺,蒙眼","
          德语        ",90分钟,"
        Sechs Schwedinnen auf der Alm ",(1983)
"Birte Tove,Baard Owe,Clinton Greyn,丹尼尔·盖林,Paul Rossilli",丹麦,Jack O'Connell,"
                   剧情        ",5.8,A gorgeous Danish stewardess flirts brashly with her male passengers then beds them one after another in her Copenhagen home.,"丹麦哥本哈根,撞车,飞机乘务员","
          丹麦语        ",100分钟,"
        克里斯塔：瑞典飞女,Christa ",(1971)
"宋康昊,李善均,Yeo-jeong Jo,崔宇植,朴素丹",韩国,奉俊昊,"
                   喜剧         / 剧情        / 惊悚片        ",8.6,住在贫民区半地下的一家人四口，生活非常窘迫，是生活在社会底层的典型家庭。儿子金基宇（,"司机,房子,欺诈,谋杀,财富","
          韩语        ",132分钟,"
        寄生虫,Gisaengchung ",(2019)
"阿妮塔·桑德斯,泰瑞·卡特,Nino Segurini,翁贝托·迪格拉齐亚,Bobby Harrison",意大利,丁度·巴拉斯,"
                   喜剧         ",5.4,"A taboo-smasher of the late '60s, featuring interracial affairs, anti-Vietnam statements, violence versus sex. Take a whirlwind trip with a married woman whose journey through the psychedelic English youth scene awakens her to the carnal offerings of an African-American man, all set to a searing sou…","导演卡米奥,偷窥狂,不忠的妻子,妇科检查","
          意大利语        ",77分钟,"
        Nerosubianco ",(1969)
"原田泰造,山本未来,长塚京三,小西真奈美,Kô Nanase",日本,竹下昌男,"
                   剧情        ",7.6,Riichi has moved back to Niigata after living in Tokyo and works as a inter-city bus driver at night. His ex-wife of many years ago is one of his passengers one night. She has remarried and Riichi has been pondering proposing to his current girlfriend. Riichi's son and daughter are in transition as …,"父子关系,父女关系,公共汽车司机,离婚者,男女朋友关系","
          日语        ",157分钟,"
        午夜巴士,Middonaito basu ",(2017)
"伊丽莎白·伯克利,凯尔·麦克拉克伦,吉娜·格申,格伦·普拉默,罗伯特·戴维",法国,Paul Verhoeven,"
                   剧情        ",4.8,"Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.","汽提塔,跳脱衣舞,脱衣舞,歌舞女郎","
          英语        ",131分钟,"
        艳舞女郎,Showgirls ",(1995)
"杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森,亚美莉卡·费雷拉,乔纳·希尔",美国,迪恩·德布洛斯,"
                   动作片        / 冒险        / 动画        / 家庭        / 奇幻片        ",8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","龙,维京人,村庄,岛,培训","
          英语        ",98分钟,"
        驯龙高手,How to Train Your Dragon ",(2010)
"Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin,Tenzin Yeshi Paichang,Tencho Gyalpo",美国,马丁·斯科塞斯,"
                   传记        / 剧情        / 历史        / 战争        ",7,"From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.","西藏,达赖喇嘛,西藏,屠宰,佛","
          英语        ",134分钟,"
        Kundun ",(1997)
"Shari Eubank,查尔斯·纳佩尔,乌席·迪加尔,Charles Pitts,Henry Rowland",美国,罗斯·梅尔,"
                   喜剧         ",6,"Clint Ramsey has to leave his job working at Martin Bormann's gas station and flee after his wife is murdered by psycho cop Harry Sledge, who tries to pin the murder on Clint. Crossing America, Clint gets sexually harassed on all sides by various voluptuous nymphomaniacs, and it all ends in a litera…","1970s,剥削,女青年","
          英语        ",99分钟,"
        女人如此膘悍,Supervixens ",(1975)
"Barbara Markham,帕特里克·巴尔,雷·布鲁克斯,安·米歇尔,Sheila Keith",英国,皮特·沃克,"
                   恐怖        ",5.9,An old man who lives in an old house conducts a correctional institute for girls. But he does not realize that the date is the present as he's been cooped up in the house. He is assisted by a matron who likes to get the girls into trouble and present them in front of the old man who thinks he is the…,"色情文学,情色70年代,女的脱衣服","
          英语        ",102分钟,"
        House of Whipcord ",(1974)
"安塞尔·艾尔高特,乔·博恩瑟,乔恩·哈姆,艾莎·冈萨雷斯,米迦·霍华德",英国,埃德加·赖特,"
                   动作片        / 犯罪        / 剧情        / 音乐剧        / 惊悚片        ",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","猪,mini skirt with heels,短裙,咸肉,硬体","
          英语        ",113分钟,"
        Baby Driver ",(2017)
Francesco Foletto,意大利,Domiziano Cristopharo,"
                   奇幻片        / 恐怖        / 惊悚片        ",4,"A collection of disturbing, sick, morbid and unusual clips from the world wide web.","选集,social media","
          英语        ",76分钟,"
        Deep Web XXX ",(2018)
"崔岷植,全度妍,朱镇模,Mi-seon Hwang,朱铉",韩国,郑址宇,"
                   犯罪        / 剧情        / 爱情        ",6.9,"When a wife becomes the breadwinner of her family after her husband loses his job, adultery becomes part of her life.","不忠,家庭丈夫,不忠的妻子,裸胸","
          韩语        ",99分钟,"
        Haepi-endeu ",(1999)
"约翰尼·德普,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特,比尔·奈伊",美国,戈尔·维宾斯基,"
                   动作片        / 冒险        / 奇幻片        ",7.3,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","心,骗子的骰子,怪物,大鱿鱼,取消婚礼","
          英语        ",151分钟,"
        加勒比海盗2：聚魂棺,Pirates of the Caribbean: Dead Man's Chest ",(2006)
"Alex Del Rosario,Gandong Cervantes,Lawrence David,Luis Cortes,Richard Cassity",菲律宾,Mel Chionglo,"
                   犯罪        / 剧情        ",5.5,"Three young and good-looking brothers live with and support their parents in Manila; they dance at the male Club Exotica and work as ""call boys."" Joel has a wife and child; he and Dennis are saving money to buy back lost family land. Sonny has dropped out of university and sees dancing as a way to m…","钱,跳舞,大学,跳舞,易装癖","
          菲律宾语        ",118分钟,"
        Sibak ",(1994)
